condition,protocol,trial,duration_ms
baseline,tcp,0,118.85616699873935
baseline,tcp,1,95.53483300260268
baseline,tcp,2,96.4787920092931
baseline,tcp,3,96.41379199456424
baseline,tcp,4,93.9841250074096
baseline,quic,0,76.39479199133348
baseline,quic,1,70.57991699548438
baseline,quic,2,65.50245800463017
baseline,quic,3,63.75412500347011
baseline,quic,4,64.06049999350216
baseline,dtls,0,73.01241699315142
baseline,dtls,1,61.543000003439374
baseline,dtls,2,56.611874999362044
baseline,dtls,3,54.995541999232955
baseline,dtls,4,55.086624997784384
lossy,tcp,0,93.84304100240115
lossy,tcp,1,92.20758400624618
lossy,tcp,2,94.58954200090375
lossy,tcp,3,95.7429590052925
lossy,tcp,4,96.92150000773836
lossy,quic,0,61.67891700170003
lossy,quic,1,64.25537500763312
lossy,quic,2,62.96229099098127
lossy,quic,3,59.441582998260856
lossy,quic,4,57.00904200784862
lossy,dtls,0,59.05462500231806
lossy,dtls,1,54.45770799997263
lossy,dtls,2,54.45737499394454
lossy,dtls,3,55.49466599768493
lossy,dtls,4,64.77966700913385
baseline,tcp,0,103.96012499404605
baseline,tcp,1,95.53391599911265
baseline,tcp,2,95.339542007423
baseline,tcp,3,94.92779200081713
baseline,tcp,4,92.40437499829568
baseline,quic,0,72.72983400616795
baseline,quic,1,57.22854199120775
baseline,quic,2,66.94804198923521
baseline,quic,3,62.84866599889938
baseline,quic,4,54.47795799409505
baseline,dtls,0,73.21879199298564
baseline,dtls,1,59.298292006133124
baseline,dtls,2,55.7020420092158
baseline,dtls,3,53.38720799773
baseline,dtls,4,52.78570900554769
lossy,tcp,0,102.0367500022985
lossy,tcp,1,103.4039169899188
lossy,tcp,2,96.38499999709893
lossy,tcp,3,92.0492919976823
lossy,tcp,4,94.59299998707138
lossy,quic,0,58.95483300264459
lossy,quic,1,58.22733299282845
lossy,quic,2,63.625833005062304
lossy,quic,3,63.50262499472592
lossy,quic,4,66.92712500807829
lossy,dtls,0,60.64570799935609
lossy,dtls,1,1055.7858340034727
lossy,dtls,2,3068.127791993902
lossy,dtls,3,60.92420800996479
lossy,dtls,4,58.81091600167565
baseline,tcp,0,98.48108299775049
baseline,tcp,1,93.38679199572653
baseline,tcp,2,92.9952080041403
baseline,tcp,3,96.1856249923585
baseline,tcp,4,98.61183300381526
baseline,quic,0,77.15124999231193
baseline,quic,1,61.6546249948442
baseline,quic,2,65.98762499925215
baseline,quic,3,60.62162498710677
baseline,quic,4,59.797124995384365
baseline,dtls,0,65.4975840006955
baseline,dtls,1,58.08824999257922
baseline,dtls,2,57.68420800450258
baseline,dtls,3,57.990417000837624
baseline,dtls,4,57.20758400275372
lossy,tcp,0,93.94245799921919
lossy,tcp,1,106.55854200012982
lossy,tcp,2,101.72787499323022
lossy,tcp,3,93.28041700064205
lossy,tcp,4,348.28729199944064
lossy,quic,0,105.71370799152646
lossy,quic,1,103.94704199279658
lossy,quic,2,58.28608400770463
lossy,quic,3,60.266457992838696
lossy,quic,4,59.52195799909532
lossy,dtls,0,69.98087499232497
lossy,dtls,1,58.7647089996608
lossy,dtls,2,57.521042006555945
lossy,dtls,3,57.827332988381386
lossy,dtls,4,57.28299998736475
baseline,tcp,0,98.31625000515487
baseline,tcp,1,95.61129201028962
baseline,tcp,2,96.41000001283828
baseline,tcp,3,94.38387499540113
baseline,tcp,4,96.57100000185892
baseline,quic,0,73.16154100408312
baseline,quic,1,67.02624999161344
baseline,quic,2,112.7929159993073
baseline,quic,3,62.091250001685694
baseline,quic,4,62.896457995520905
baseline,dtls,0,54.82691699580755
baseline,dtls,1,54.12149999756366
baseline,dtls,2,54.38270900049247
baseline,dtls,3,55.123042009654455
baseline,dtls,4,53.67908300831914
lossy,tcp,0,103.45525000593625
lossy,tcp,1,97.51370899903122
lossy,tcp,2,95.76991600624751
