condition,protocol,trial,stream_id,completion_ms,spread_ms
baseline,tcp,0,0,54.57341700093821,1.9364999898243695
baseline,tcp,0,1,56.50187499122694,1.9364999898243695
baseline,tcp,0,2,56.50704199797474,1.9364999898243695
baseline,tcp,0,3,56.50991699076258,1.9364999898243695
baseline,tcp,1,0,48.18108299514279,8.125042004394345
baseline,tcp,1,1,53.381666002678685,8.125042004394345
baseline,tcp,1,2,56.30191600357648,8.125042004394345
baseline,tcp,1,3,56.30612499953713,8.125042004394345
baseline,tcp,2,0,50.481666999985464,2.343000000109896
baseline,tcp,2,1,52.819292002823204,2.343000000109896
baseline,tcp,2,2,52.822416997514665,2.343000000109896
baseline,tcp,2,3,52.82466700009536,2.343000000109896
baseline,tcp,3,0,397.11841600365005,1.9554999889805913
baseline,tcp,3,1,397.1274159994209,1.9554999889805913
baseline,tcp,3,2,397.13141600077506,1.9554999889805913
baseline,tcp,3,3,399.07391599263065,1.9554999889805913
baseline,tcp,4,0,50.632290993235074,0.015875004464760423
baseline,tcp,4,1,50.63987500034273,0.015875004464760423
baseline,tcp,4,2,50.6442909972975,0.015875004464760423
baseline,tcp,4,3,50.648165997699834,0.015875004464760423
baseline,tcp,5,0,51.157915993826464,2.2000419994583353
baseline,tcp,5,1,51.166416000342,2.2000419994583353
baseline,tcp,5,2,53.35020799248014,2.2000419994583353
baseline,tcp,5,3,53.3579579932848,2.2000419994583353
baseline,tcp,6,0,51.03033299383242,5.636542002321221
baseline,tcp,6,1,51.032999996095896,5.636542002321221
baseline,tcp,6,2,54.338166999514215,5.636542002321221
baseline,tcp,6,3,56.66687499615364,5.636542002321221
baseline,tcp,7,0,56.70858299708925,2.078207995509729
baseline,tcp,7,1,56.71670800074935,2.078207995509729
baseline,tcp,7,2,56.7201660014689,2.078207995509729
baseline,tcp,7,3,58.78679099259898,2.078207995509729
baseline,tcp,8,0,50.08825000550132,5.8425419993000105
baseline,tcp,8,1,53.65687499579508,5.8425419993000105
baseline,tcp,8,2,55.92499999329448,5.8425419993000105
baseline,tcp,8,3,55.93079200480133,5.8425419993000105
baseline,tcp,9,0,48.8978329958627,6.491042004199699
baseline,tcp,9,1,51.28337499627378,6.491042004199699
baseline,tcp,9,2,54.422665998572484,6.491042004199699
baseline,tcp,9,3,55.3888750000624,6.491042004199699
baseline,tcp,10,0,50.945959010277875,1.9737080001505092
baseline,tcp,10,1,52.909375008312054,1.9737080001505092
baseline,tcp,10,2,52.915917010977864,1.9737080001505092
baseline,tcp,10,3,52.919667010428384,1.9737080001505092
baseline,tcp,11,0,60.31108400202356,1.9254579965490848
baseline,tcp,11,1,60.32033399969805,1.9254579965490848
baseline,tcp,11,2,62.23170900193509,1.9254579965490848
baseline,tcp,11,3,62.23654199857265,1.9254579965490848
baseline,tcp,12,0,80.04216699919198,0.016874997527338564
baseline,tcp,12,1,80.0505829975009,0.016874997527338564
baseline,tcp,12,2,80.0554579909658,0.016874997527338564
baseline,tcp,12,3,80.05904199671932,0.016874997527338564
baseline,tcp,13,0,50.82745799154509,5.749709001975134
baseline,tcp,13,1,54.2573329876177,5.749709001975134
baseline,tcp,13,2,56.5704999899026,5.749709001975134
baseline,tcp,13,3,56.57716699352022,5.749709001975134
baseline,tcp,14,0,52.41033399943262,2.140540993423201
baseline,tcp,14,1,52.415166996070184,2.140540993423201
baseline,tcp,14,2,54.549124994082376,2.140540993423201
baseline,tcp,14,3,54.550874992855825,2.140540993423201
baseline,tcp,15,0,49.516915998538025,3.1628340075258166
baseline,tcp,15,1,49.52562499966007,3.1628340075258166
baseline,tcp,15,2,51.68045799655374,3.1628340075258166
baseline,tcp,15,3,52.67975000606384,3.1628340075258166
baseline,tcp,16,0,47.51658400346059,5.66908300970681
baseline,tcp,16,1,50.21745900739916,5.66908300970681
baseline,tcp,16,2,53.179250011453405,5.66908300970681
baseline,tcp,16,3,53.185667013167404,5.66908300970681
baseline,tcp,17,0,53.85645799105987,2.1446250029839575
baseline,tcp,17,1,55.991582994465716,2.1446250029839575
baseline,tcp,17,2,55.99762499332428,2.1446250029839575
baseline,tcp,17,3,56.00108299404383,2.1446250029839575
baseline,tcp,18,0,52.3322079970967,1.1439170048106462
baseline,tcp,18,1,53.46566700609401,1.1439170048106462
baseline,tcp,18,2,53.47233300562948,1.1439170048106462
baseline,tcp,18,3,53.47612500190735,1.1439170048106462
baseline,tcp,19,0,51.96154200530145,2.754792003543116
